ko	KOname
K01395	MEP1A; meprin A
K08606	MEP1B; meprin B
K18542	LCE; choriolysin L
K18543	HCE; choriolysin H
K05502	BMP1, TLD; bone morphogenetic protein 1
K13045	tld; tolloid
K13046	tok; tolkin
K09608	TLL1; tolloid-like protein 1
K13047	TLL2; tolloid-like protein 2
K20138	P40; flavastacin
K20139	JG; jararhagin
K20745	E3.4.24.49; bothropasin
K20746	E3.4.24.42; atrolysin C
K20747	E3.4.24.43; atroxase
K21897	E3.4.24.52; trimerelysin I
K20748	E3.4.24.58; russellysin
K08607	ADAM1; disintegrin and metalloproteinase domain-containing protein 1
K06833	ADAM2; disintegrin and metalloproteinase domain-containing protein 2
K16071	ADAM7; disintegrin and metalloproteinase domain-containing protein 7
K06540	ADAM8, CD156a; disintegrin and metalloproteinase domain-containing protein 8
K06834	ADAM9; disintegrin and metalloproteinase domain-containing protein 9
K06704	ADAM10, CD156c; disintegrin and metalloproteinase domain-containing protein 10
K16067	ADAM11; disintegrin and metalloproteinase domain-containing protein 11
K06835	ADAM12; disintegrin and metalloproteinase domain-containing protein 12
K06836	ADAM15; disintegrin and metalloproteinase domain-containing protein 15
K06059	ADAM17, TACE, CD156b; disintegrin and metalloproteinase domain-containing protein 17
K16909	ADAM18; disintegrin and metalloproteinase domain-containing protein 18
K08608	ADAM19; disintegrin and metalloproteinase domain-containing protein 19
K08609	ADAM20; disintegrin and metalloproteinase domain-containing protein 20
K08610	ADAM21; disintegrin and metalloproteinase domain-containing protein 21
K16068	ADAM22; disintegrin and metalloproteinase domain-containing protein 22
K06837	ADAM23; disintegrin and metalloproteinase domain-containing protein 23
K08611	ADAM24; disintegrin and metalloproteinase domain-containing protein 24
K08612	ADAM25; disintegrin and metalloproteinase domain-containing protein 25
K08613	ADAM26; disintegrin and metalloproteinase domain-containing protein 26
K08614	ADAM28; disintegrin and metalloproteinase domain-containing protein 28
K16069	ADAM29; disintegrin and metalloproteinase domain-containing protein 29
K08615	ADAM30; disintegrin and metalloproteinase domain-containing protein 30
K16070	ADAM32; disintegrin and metalloproteinase domain-containing protein 32
K08616	ADAM33; disintegrin and metalloproteinase domain-containing protein 33
K08617	ADAMTS1; a disintegrin and metalloproteinase with thrombospondin motifs 1
K08618	ADAMTS2; a disintegrin and metalloproteinase with thrombospondin motifs 2
K08619	ADAMTS3; a disintegrin and metalloproteinase with thrombospondin motifs 3
K07764	ADAMTS4; a disintegrin and metalloproteinase with thrombospondin motifs 4
K08620	ADAMTS5; a disintegrin and metalloproteinase with thrombospondin motifs 5
K08621	ADAMTS6; a disintegrin and metalloproteinase with thrombospondin motifs 6
K08622	ADAMTS7; a disintegrin and metalloproteinase with thrombospondin motifs 7
K08623	ADAMTS8; a disintegrin and metalloproteinase with thrombospondin motifs 8
K08624	ADAMTS9; a disintegrin and metalloproteinase with thrombospondin motifs 9
K08625	ADAMTS10; a disintegrin and metalloproteinase with thrombospondin motifs 10
K08626	ADAMTS12; a disintegrin and metalloproteinase with thrombospondin motifs 12
K08627	ADAMTS13; a disintegrin and metalloproteinase with thrombospondin motifs 13
K08628	ADAMTS14; a disintegrin and metalloproteinase with thrombospondin motifs 14
K08629	ADAMTS15; a disintegrin and metalloproteinase with thrombospondin motifs 15
K08630	ADAMTS16; a disintegrin and metalloproteinase with thrombospondin motifs 16
K08631	ADAMTS17; a disintegrin and metalloproteinase with thrombospondin motifs 17
K08632	ADAMTS18; a disintegrin and metalloproteinase with thrombospondin motifs 18
K08633	ADAMTS19; a disintegrin and metalloproteinase with thrombospondin motifs 19
K09609	ADAMTS20; a disintegrin and metalloproteinase with thrombospondin motifs 20
K08634	ADAMDEC1; ADAM-like, decysin 1
K01389	MME, CD10; neprilysin
K08635	MMEL1, NEP; neprilysin
K01415	ECE; endothelin-converting enzyme
K07386	pepO; putative endopeptidase
K09610	ECEL1; endothelin-converting enzyme-like 1
K06577	KEL, CD238; Kell blood group glycoprotein
K08636	PHEX; phosphate-regulating neutral endopeptidase
K08779	CPA1; carboxypeptidase A1
K08780	CPA3; carboxypeptidase A3
K08781	CPA5; carboxypeptidase A5
K08782	CPA6; carboxypeptidase A6
K01298	CPA2; carboxypeptidase A2
K08637	CPA4; carboxypeptidase A4
K01290	CPAN; carboxypeptidase A, invertebrate
K01291	CPB1; carboxypeptidase B
K01300	CPB2; carboxypeptidase B2
K08783	ECM14; extracellular matrix protein 14
K07752	CPD; carboxypeptidase D
K01294	CPE; carboxypeptidase E
K01296	CPM; carboxypeptidase M
K01292	CPN1; carboxypeptidase N catalytic subunit
K13023	CPN2; carboxypeptidase N regulatory subunit
K23009	CPO; carboxypeptidase O
K05996	cpt; carboxypeptidase T
K08638	CPXM1; carboxypeptidase X1
K08639	CPXM2; carboxypeptidase X2
K13022	CPZ; carboxypeptidase Z
K23435	AGTPBP1, CCP1; cytosolic carboxypeptidase protein 1
K23436	AGBL1, CCP4; cytosolic carboxypeptidase protein 4
K23437	AGBL2_3, CCP2_3; cytosolic carboxypeptidase protein 2/3
K23438	AGBL5, CCP5; cytosolic carboxypeptidase protein 5
K23439	AGBL4, CCP6; cytosolic carboxypeptidase protein 6
K01308	yqgT; g-D-glutamyl-meso-diaminopimelate peptidase
K08640	E3.4.17.14; zinc D-Ala-D-Ala carboxypeptidase
K07260	vanY; zinc D-Ala-D-Ala carboxypeptidase
K08641	vanX; zinc D-Ala-D-Ala dipeptidase
K18866	vanXY; zinc D-Ala-D-Ala dipeptidase/carboxypeptidase
K17733	cwlK; peptidoglycan LD-endopeptidase CwlK
K01407	ptrA; protease III
K01408	IDE, ide; insulysin
K01411	NRD1; nardilysin
K01422	AXL1; protease AXL1
K06972	PITRM1, PreP, CYM1; presequence protease
K01412	PMPCA, MAS2; mitochondrial-processing peptidase subunit alpha
K17732	PMPCB, MAS1; mitochondrial-processing peptidase subunit beta
K00414	QCR1, UQCRC1; ubiquinol-cytochrome c reductase core subunit 1
K00415	QCR2, UQCRC2; ubiquinol-cytochrome c reductase core subunit 2
K07263	pqqL; zinc protease
K11142	LAP3; cytosol aminopeptidase
K01255	CARP, pepA; leucyl aminopeptidase
K07751	pepB; PepB aminopeptidase
K09611	NPEPL1; probable aminopeptidase NPEPL1
K01268	LAP4; aminopeptidase I
K01267	DNPEP; aspartyl aminopeptidase
K01273	DPEP; membrane dipeptidase
K01295	cpg; glutamate carboxypeptidase
K01293	E3.4.17.4; Gly-Xaa carboxypeptidase
K01274	pepV; beta-Ala-Xaa dipeptidase
K01439	dapE; succinyl-diaminopimelate desuccinylase
K13049	PM20D1; carboxypeptidase PM20D1
K14677	ACY1; aminoacylase
K14262	DUG2; di- and tripeptidase
K01258	pepT; tripeptide aminopeptidase
K01270	pepD; dipeptidase D
K13048	cps; carboxypeptidase Ss1
K01436	yhaA; amidohydrolase
K21613	scmP; N-acetylcysteine deacetylase
K01451	hipO; hippurate hydrolase
K12940	abgA; aminobenzoyl-glutamate utilization protein A
K12941	abgB; aminobenzoyl-glutamate utilization protein B
K14664	ILR1; IAA-amino acid hydrolase
K21604	IAR3, ILL6; jasmonoyl-L-amino acid hydrolase
K14665	amhX; amidohydrolase
K05823	dapL; N-acetyldiaminopimelate deacetylase
K08660	CNDP2; cytosolic nonspecific dipeptidase
K05604	CNDP1; beta-Ala-His dipeptidase
K15428	DUG1; Cys-Gly metallodipeptidase DUG1
K02083	allC; allantoate deiminase
K23980	tpdA; cysteinylglycine-S-conjugate dipeptidase
K20749	E3.4.24.32; beta-lytic metalloendopeptidase
K08642	lasA; LasA protease
K21472	lytH; peptidoglycan LD-endopeptidase LytH
K19304	mepM; murein DD-endopeptidase
K08259	lytM; lysostaphin
K01265	map; methionyl aminopeptidase
K01271	pepQ; Xaa-Pro dipeptidase
K14213	PEPD; Xaa-Pro dipeptidase
K01262	pepP; Xaa-Pro aminopeptidase
K14208	XPNPEP2; Xaa-Pro aminopeptidase 2
K18573	ICP55; intermediate cleaving peptidase 55
K08326	ypdF; aminopeptidase
K01390	iga; IgA-specific metalloendopeptidase
K08643	zmpB; zinc metalloprotease ZmpB
K08644	tetX; tentoxilysin
K06011	boNT; botulinum neurotoxin
K01264	APE3; aminopeptidase Y
K05994	E3.4.11.10; bacterial leucyl aminopeptidase
K19702	E3.4.11.24; aminopeptidase S
K09612	iap; alkaline phosphatase isozyme conversion protein
K19701	ywaD; aminopeptidase YwaD
K14592	FOLH1, GCPII; glutamate carboxypeptidase II (folate hydrolase 1)
K01301	NAALAD; N-acetylated-alpha-linked acidic dipeptidase
K01302	CPQ; carboxypeptidase Q
K06503	TFRC, CD71; transferrin receptor
K23910	TFR2; transferrin receptor protein 2
K00683	QPCT; glutaminyl-peptide cyclotransferase
K19689	ampS, pepS, ampT; aminopeptidase
K01299	E3.4.17.19; carboxypeptidase Taq
K08645	lef; anthrax lethal toxin endopeptidase
K20109	zmp1; Pro-Pro endopeptidase
K19305	NPII; deuterolysin
K08646	MEP; peptidyl-Lys metalloendopeptidase
K01417	MEP; extracellular elastinolytic metalloproteinase
K01305	iadA; beta-aspartyl-dipeptidase (metallo-type)
K03798	ftsH, hflB; cell division protease FtsH
K08956	AFG3; AFG3 family protein
K08955	YME1; ATP-dependent metalloprotease
K09552	SPG7; spastic paraplegia 7
K01261	pepA; glutamyl aminopeptidase
K18530	frvX; putative aminopeptidase FrvX
K20608	tet; tetrahedral aminopeptidase
K20609	sgcX; putative aminopeptidase
K01269	yhfE; aminopeptidase
K07762	PAPPA; pappalysin-1
K08647	PAPPA2; pappalysin-2
K06013	STE24; STE24 endopeptidase
K03799	htpX; heat shock protein HtpX
K23010	OMA1; metalloendopeptidase OMA1, mitochondrial
K07387	K07387; metalloprotease
K01423	bepA; beta-barrel assembly-enhancing protease
K01277	DPP3; dipeptidyl-peptidase III
K07765	MBTPS2; S2P endopeptidase
K06402	spoIVFB; stage IV sporulation protein FB
K11749	rseP; regulator of sigma E protease
K16922	yydH; putative peptide zinc metalloprotease protein
K06974	amzA, AMZ2, AMZ1; archaemetzincin
K16203	dppA1; D-amino peptidase
K02172	blaR1; bla regulator protein blaR1
K02547	mecR1; methicillin resistance protein
K03030	PSMD14, RPN11, POH1; 26S proteasome regulatory subunit N11
K09613	COPS5, CSN5; COP9 signalosome complex subunit 5
K11867	STAMBPL1; AMSH-like protease
K11864	BRCC3, BRCC36; BRCA1/BRCA2-containing complex subunit 3
K11865	MYSM1; histone H2A deubiquitinase
K11866	STAMBP, AMSH; STAM-binding protein
K20110	JAMM1; desampylase
K23743	E3.4.24.33; peptidyl-Asp metalloendopeptidase
K06336	tasA, cotN; spore coat-associated protein N
K07261	mepA; penicillin-insensitive murein DD-endopeptidase
K08658	RCE1, FACE2; prenyl protein peptidase
K22685	WSS1; DNA-dependent metalloprotease WSS1
K24131	prsW; protease PrsW
K23655	nleC; T3SS secreted effector NleC
K23941	pipA, gogA, gtgA; PipA/GogA/GtgA family effector protease
K21429	impA; immunomodulating metalloprotease
K09933	mtfA; MtfA peptidase
K01266	dmpA, dap; D-aminopeptidase
K20750	bapA; beta-peptidyl aminopeptidase
K08460	ADGRA1, GPR123; adhesion G protein-coupled receptor A1
K08461	ADGRA2, GPR124; adhesion G protein-coupled receptor A2
K08462	ADGRA3, GPR125; adhesion G protein-coupled receptor A3
K04596	ADGRB1, BAI1; adhesion G protein-coupled receptor B1
K04597	ADGRB2, BAI2; adhesion G protein-coupled receptor B2
K04598	ADGRB3, BAI3; adhesion G protein-coupled receptor B3
K08465	ADGRD1, GPR133; adhesion G-protein coupled receptor D1
K08466	ADGRD2, GPR144; adhesion G-protein coupled receptor D2
K04591	ADGRE1, EMR1; adhesion G protein-coupled receptor E1
K08443	ADGRE2, EMR2, CD312; adhesion G protein-coupled receptor E2
K08444	ADGRE3, EMR3; adhesion G protein-coupled receptor E3
K08445	ADGRE4, EMR4; adhesion G protein-coupled receptor E4
K08446	ADGRE5, CD97; CD97 antigen
K08453	ADGRF1, GPR110; adhesion G-protein coupled receptor F1
K08454	ADGRF2, GPR111; adhesion G-protein coupled receptor F2
K08456	ADGRF3, GPR113; adhesion G-protein coupled receptor F3
K08457	ADGRF4, GPR115; adhesion G-protein coupled receptor F4
K08458	ADGRF5, GPR116; adhesion G-protein coupled receptor F5
K08450	ADGRG1, GPR56; adhesion G-protein coupled receptor G1
K08451	ADGRG2, GPR64; adhesion G-protein coupled receptor G2
K08452	ADGRG3, GPR97; adhesion G-protein coupled receptor G3
K08455	ADGRG4, GPR112; adhesion G-protein coupled receptor G4
K08459	ADGRG5, GPR114; adhesion G-protein coupled receptor G5
K08463	ADGRG6, GPR126; adhesion G-protein coupled receptor G6
K08464	ADGRG7, GPR128; adhesion G-protein coupled receptor G7
K04592	ADGRL1, LPHN1; adhesion G protein-coupled receptor L1
K04593	ADGRL2, LPHN2; adhesion G protein-coupled receptor L2
K04594	ADGRL3, LPHN3; adhesion G protein-coupled receptor L3
K04595	ADGRL4, ELTD1; adhesion G protein-coupled receptor L4
K18263	ADGRV1, GPR98, USH2C; adhesion G-protein coupled receptor V1
K04600	CELSR1; cadherin EGF LAG seven-pass G-type receptor 1
K04601	CELSR2; cadherin EGF LAG seven-pass G-type receptor 2
K04602	CELSR3; cadherin EGF LAG seven-pass G-type receptor 3
K01310	CTRB; chymotrypsin
K08661	MCPT1; mast cell peptidase 1
K08662	MCPT2; mast cell peptidase 2
K01340	E3.4.21.59; tryptase
K09614	CORIN; atrial natriuretic peptide-converting enzyme
K01362	OVCH; ovochymase
K20111	OVCH2; oviductin
K09615	TPSG1; tryptase gamma 1
K08648	HABP2; hyaluronan binding protein 2
K20751	E3.4.21.99; spermosin
K20752	E3.4.21.49; hypodermin C
K01312	PRSS1_2_3; trypsin
K01316	TMPRSS15, PRSS7; enterokinase
K08664	PRSS8; prostasin
K09624	PRSS12; neurotrypsin
K09625	PRSS21; testisin
K09626	PRSS22, BSSP4; brain-specific serine protease 4
K09628	PRSS27; serine protease 27
K09629	PRSS33; serine protease 33
K09630	PRSS36; polyserase 2
K23440	PRSS56; serine protease 56
K23011	PRSS57, NSP4; serine protease 57
K22367	PRSS58; serine protease 58
K01327	ELANE; leukocyte elastase
K01319	CTSG; cathepsin G
K01350	PRTN3; myeloblastin
K01352	GZMA; granzyme A
K01353	GZMB; granzyme B
K09616	GZMH, CTSGL2; granzyme H (cathepsin G-like 2)
K08663	GZMK; granzyme K
K08649	GZMM; granzyme M
K01329	CMA1; chymase
K01326	CELA1; pancreatic elastase I
K01346	CELA2; pancreatic elastase II
K01345	CELA3; pancreatic endopeptidase E
K01311	CTRC; chymotrypsin C
K01325	KLK1_2; tissue kallikrein
K01324	KLKB1; plasma kallikrein
K01351	KLK3; semenogelase
K08666	KLK4, PRSS17; kallikrein 4
K09617	KLK5; kallikrein 5
K08667	KLK6, PRSS9; kallikrein 6
K08668	KLK7, PRSS6; kallikrein 7
K08650	KLK8, PRSS19; kallikrein 8
K09618	KLK9; kallikrein 9
K09619	KLK10, PRSSL1; kallikrein 10
K09620	KLK11, PRSS20; kallikrein 11
K09462	E3.4.21.119; glandular kallikrein 13
K09621	KLK12; kallikrein 12
K09463	KLK13; kallikrein 13
K09622	KLK14; kallikrein 14
K09623	KLK15; kallikrein 15
K01339	KLK16; g-renin
K20137	BX; venombin A
K24791	C1RL; complement C1r subcomponent-like protein
K03992	MASP1; mannan-binding lectin serine protease 1
K03993	MASP2; mannan-binding lectin serine protease 2
K01330	C1R; complement component 1, r subcomponent
K01331	C1S; complement component 1, s subcomponent
K01332	C2; complement component 2
K01335	CFB; complement factor B
K01334	CFD; complement factor D
K01333	CFI; complement factor I
K24132	Sp7; serine protease 7
K01313	F2; coagulation factor II (thrombin)
K01320	F7; coagulation factor VII
K01321	F9; coagulation factor IX (Christmas factor)
K01314	F10; coagulation factor X
K01323	F11; coagulation factor XI
K01328	F12; coagulation factor XII (Hageman factor)
K01344	PROC; protein C (activated)
K22079	E3.4.21.84; limulus clotting factor C
K22080	E3.4.21.85; limulus clotting factor B
K20753	E3.4.21.86; limulus clotting enzyme
K01317	ACR; acrosin
K08665	HPN; hepsin
K24133	Sb; serine proteinase stubble
K09631	HGFAC; hepatocyte growth factor activator
K01343	PLAT; tissue plasminogen activator
K01348	PLAU; urokinase plasminogen activator
K01315	PLG; plasminogen
K09633	TMPRSS2; transmembrane protease serine 2
K09634	TMPRSS3; transmembrane protease serine 3
K09635	TMPRSS4; transmembrane protease serine 4
K09636	TMPRSS5; transmembrane protease serine 5
K09637	TMPRSS6; transmembrane protease serine 6
K09638	TMPRSS7; transmembrane protease serine 7
K09639	TMPRSS8; transmembrane protease serine 8
K09640	TMPRSS9; transmembrane protease serine 9
K09750	TMPRSS11A; transmembrane protease serine 11A
K09751	TMPRSS11B; transmembrane protease serine 11B
K14359	TMPRSS11C; transmembrane protease serine 11C
K09641	TMPRSS11D; transmembrane protease serine 11D
K09642	TMPRSS11E; transmembrane protease serine 11E
K09752	TMPRSS11F; transmembrane protease serine 11F
K18769	TMPRSS11G; transmembrane protease serine 11G
K09643	TMPRSS13, TMPRSS11; transmembrane protease serine 13
K09632	CTRL; chymotrypsin-like protease
K04775	ydgD; protease YdgD
K08670	ST14, PRSS14; suppressor of tumorigenicity protein 14
K20671	PSH; serine protease persephone
K23489	SVH1, Teq; HGF/MSP/plasminogen-like protein
K20672	SPE; spatzle-processing enzyme
K20673	GRASS; gram-positive specific serine protease
K20674	MODSP; modular serine protease
K24665	AZU1; azurocidin
K16142	HP; haptoglobin
K23441	MST1; hepatocyte growth factor-like protein
K09644	LPA; apolipoprotein(a)
K20675	SPIRIT; serine protease immune response integrator
K20677	HAYAN; serine protease Hayan
K20676	SPHEROIDE; spheroide
K01318	sspA; glutamyl endopeptidase
K04771	degP, htrA; serine protease Do
K04772	degQ, hhoA; serine protease DegQ
K04691	hhoB, degS; serine protease DegS
K08784	HTRA1, PRSS11; HtrA serine peptidase 1
K08669	HTRA2, PRSS25; HtrA serine peptidase 2
K08785	HTRA3; HtrA serine peptidase 3
K08786	HTRA4; HtrA serine peptidase 4
K23012	TYSND1; peroxisomal leader peptide-processing protease
K08372	pepD; putative serine protease PepD
K01337	E3.4.21.50; lysyl endopeptidase
K09627	PRSS23; serine protease 23
K22686	NMA111; pro-apoptotic serine protease NMA111
K18544	sprA; streptogrisin A
K18545	sprB; streptogrisin B
K18546	sprC; streptogrisin C
K18547	sprD; streptogrisin D
K18548	sprE; glutamyl endopeptidase II
K20136	alpha-LP; alpha-lytic endopeptidase
K01347	iga; IgA-specific serine endopeptidase
K01342	aprE; subtilisin
K13274	wprA; cell wall-associated protease
K08651	E3.4.21.66; thermitase
K13276	bpr; bacillopeptidase F
K01361	E3.4.21.96; lactocepin
K08652	C5AP, scpA, scpB; C5a peptidase
K20754	pstI; aqualysin 1
K01336	E3.4.21.48; cerevisin
K13275	isp; major intracellular serine protease
K18549	ALP1; oryzin
K20486	nisP, epiP; lantibiotic leader peptide-processing serine protease
K08653	MBTPS1; membrane-bound transcription factor site-1 protease
K14645	K14645; serine protease
K01341	KEX2; kexin
K01349	FURIN, PCSK3; furin
K01359	PCSK1; proprotein convertase subtilisin/kexin type 1
K01360	PCSK2; proprotein convertase subtilisin/kexin type 2
K08671	PCSK4; proprotein convertase subtilisin/kexin type 4
K08654	PCSK5; proprotein convertase subtilisin/kexin type 5
K08672	PCSK6; proprotein convertase subtilisin/kexin type 6
K08673	PCSK7; proprotein convertase subtilisin/kexin type 7
K13050	PCSK9; proprotein convertase subtilisin/kexin type 9
K01280	TPP2; tripeptidyl-peptidase II
K14647	vpr; minor extracellular serine protease Vpr
K20755	E3.4.21.121; Lys-Lys/Arg-Xaa endopeptidase
K13277	epr; minor extracellular protease Epr
K14743	mycP; membrane-anchored mycosin MYCP
K17734	aprX; serine protease AprX
K24454	patG; thiazoline dehydrogenase / protease
K14644	OSW3, RRT12; subtilase-type proteinase RRT12
K01322	PREP; prolyl oligopeptidase
K08787	STE13; dipeptidyl aminopeptidase Ste13
K01278	DPP4, CD26; dipeptidyl-peptidase 4
K08655	DPP8; dipeptidyl-peptidase 8
K08656	DPP9; dipeptidyl-peptidase 9
K01303	APEH; acylaminoacyl-peptidase
K01282	DAP2; dipeptidyl aminopeptidase B
K08674	FAP; fibroblast activation protein, alpha
K01354	ptrB; oligopeptidase B
K22582	PREPL; prolyl endopeptidase-like
K18574	ptpA; Xaa-Xaa-Pro tripeptidyl-peptidase
K13702	ABHD10; abhydrolase domain-containing protein 10
K13704	ABHD12; abhydrolase domain-containing protein 12
K13705	ABHD12B; abhydrolase domain-containing protein 12B
K24083	ABHD13; abhydrolase domain-containing protein 13
K01076	ABHD17; abhydrolase domain-containing protein 17
K13616	AADAC; arylacetamide deacetylase
K14349	NCEH1, AADACL1; neutral cholesterol ester hydrolase 1
K13289	CTSA, CPY; cathepsin A (carboxypeptidase C)
K01288	KEX1; carboxypeptidase D
K09645	CPVL; vitellogenic carboxypeptidase-like protein
K09646	SCPEP1; serine carboxypeptidase 1
K09757	SCPL8, SNG1; serine carboxypeptidase-like 8
K09756	SCPL19, SNG2; serine carboxypeptidase-like 19
K16296	SCPL-I; serine carboxypeptidase-like clade I
K16297	SCPL-II; serine carboxypeptidase-like clade II
K16298	SCPL-IV; serine carboxypeptidase-like clade IV
K07258	dacC, dacA, dacD; serine-type D-Ala-D-Ala carboxypeptidase (penicillin-binding protein 5/6)
K07262	pbpG; serine-type D-Ala-D-Ala endopeptidase (penicillin-binding protein 7)
K17382	LACTB; serine beta-lactamase-like protein LACTB, mitochondrial
K18988	ampH; serine-type D-Ala-D-Ala carboxypeptidase/endopeptidase
K21469	pbp4b; serine-type D-Ala-D-Ala carboxypeptidase
K07259	dacB; serine-type D-Ala-D-Ala carboxypeptidase/endopeptidase (penicillin-binding protein 4)
K01358	clpP, CLPP; ATP-dependent Clp protease, protease subunit
K01281	pepX; X-Pro dipeptidyl-peptidase
K01338	lon; ATP-dependent Lon protease
K08675	PRSS15, PIM1; ATP-dependent Lon protease
K04076	lonB; ATP-dependent Lon protease
K04770	lonH; Lon-like ATP-dependent protease
K07177	K07177; Lon-like protease
K01356	lexA; repressor LexA
K03503	umuD; DNA polymerase V
K03100	lepB; signal peptidase I
K13280	SEC11, sipW; signal peptidase I
K09647	IMP1; mitochondrial inner membrane protease subunit 1
K09648	IMP2; mitochondrial inner membrane protease subunit 2
K01285	PRCP; lysosomal Pro-X carboxypeptidase
K01276	DPP7; dipeptidyl-peptidase II
K09649	PRSS16; thymus-specific serine protease
K01259	pip; proline iminopeptidase
K13698	ABHD4; abhydrolase domain-containing protein 4
K13699	ABHD5, CGI-58; abhydrolase domain-containing protein 5
K13700	ABHD6; abhydrolase domain-containing protein 6
K13701	ABHD8; abhydrolase domain-containing protein 8
K13703	ABHD11; abhydrolase domain-containing protein 11
K13706	ABHD14; abhydrolase domain-containing protein 14
K01253	EPHX1; microsomal epoxide hydrolase
K08726	EPHX2; soluble epoxide hydrolase / lipid-phosphate phosphatase
K22368	EPHX3; epoxide hydrolase 3
K22369	EPHX4; epoxide hydrolase 4
K01054	MGLL; acylglycerol lipase
K13617	PPME1; protein phosphatase methylesterase 1
K03797	E3.4.21.102, prc, ctpA; carboxyl-terminal processing protease
K23911	RBP3; retinol-binding protein 3
K08676	tri; tricorn protease
K01434	pac; penicillin G amidase
K12748	gca; glutaryl-7-aminocephalosporanic-acid acylase
K04773	sppA; protease IV
K04774	sohB; serine protease SohB
K05995	pepE; dipeptidase E
K13282	cphB; cyanophycinase
K05998	E3.4.21.100; pseudomonalisin
K05999	E3.4.21.101; xanthomonalisin
K01279	TPP1, CLN2; tripeptidyl-peptidase I
K08677	K08677; kumamolisin
K20756	E3.4.21.103; physarolisin
K23461	RHO; rhomboid
K02857	RHBDL1_2_3; rhomboid-related protein 1/2/3
K09650	PARL, PSARL, PCP1; rhomboid-like protein
K19225	gluP; rhomboid protease GluP
K09651	RHBDD1; rhomboid domain-containing protein 1
K09652	RHBDD2, RHBDL7; rhomboid domain-containing protein 2
K06399	spoIVB; stage IV sporulation protein B
K01297	ldcA; muramoyltetrapeptide carboxypeptidase
K02730	PSMA6; 20S proteasome subunit alpha 1
K02726	PSMA2; 20S proteasome subunit alpha 2
K02728	PSMA4; 20S proteasome subunit alpha 3
K02731	PSMA7; 20S proteasome subunit alpha 4
K02729	PSMA5; 20S proteasome subunit alpha 5
K02725	PSMA1; 20S proteasome subunit alpha 6
K02727	PSMA3; 20S proteasome subunit alpha 7
K03432	psmA, prcA; proteasome alpha subunit
K02738	PSMB6; 20S proteasome subunit beta 1
K02739	PSMB7; 20S proteasome subunit beta 2
K02735	PSMB3; 20S proteasome subunit beta 3
K02734	PSMB2; 20S proteasome subunit beta 4
K02737	PSMB5; 20S proteasome subunit beta 5
K02732	PSMB1; 20S proteasome subunit beta 6
K02736	PSMB4; 20S proteasome subunit beta 7
K02740	PSMB8, LMP7; 20S proteasome subunit beta 8
K02741	PSMB9, LMP2; 20S proteasome subunit beta 9
K02733	PSMB10, MECL1; 20S proteasome subunit beta 10
K03433	psmB, prcB; proteasome beta subunit
K01419	hslV, clpQ; ATP-dependent HslUV protease, peptidase subunit HslV
K13051	ASRGL1, iaaA; L-asparaginase / beta-aspartyl-peptidase
K08657	TASP1; taspase, threonine aspartase, 1
K00681	ggt; gamma-glutamyltranspeptidase / glutathione hydrolase
K22602	hpxW; oxamate amidohydrolase
K18592	GGT1_5, CD224; gamma-glutamyltranspeptidase / glutathione hydrolase / leukotriene-C4 hydrolase
K08303	prtC, trhP; U32 family peptidase
K24847	rlhA; 23S rRNA 5-hydroxycytidine C2501 synthase
K24845	ubiV; O2-independent ubiquinone biosynthesis protein UbiV
K24844	ubiU; O2-independent ubiquinone biosynthesis protein UbiU
K03592	pmbA; PmbA protein
K03568	tldD; TldD protein
K23417	SPINK1; serine protease inhibitor Kazal-type 1
K23418	SPINK2; serine protease inhibitor Kazal-type 2
K23419	SPINK4; serine protease inhibitor Kazal-type 4
K23420	SPINK5; serine protease inhibitor Kazal-type 5
K23603	SPINK6_7_9; serine protease inhibitor Kazal-type 6/7/9
K23604	SPINK8; serine protease inhibitor Kazal-type 8
K23606	SPINK10_11; serine protease inhibitor Kazal-type 10/11
K19924	SPINK13; serine protease inhibitor Kazal-type 13
K23613	SPINK14; serine protease inhibitor Kazal-type 14
K23615	SPIK5; ovoinhibitor
K23614	SPIK7; ovomucoid
K04661	FST; follistatin
K23912	FSTL1; follistatin-related protein 1
K23913	FSTL3; follistatin-related protein 3
K23914	FSTL4; follistatin-related protein 4
K23915	FSTL5; follistatin-related protein 5
K23607	TMEFF1; tomoregulin-1
K23608	TMEFF2; tomoregulin-2
K23620	AMBP; protein AMBP
K15619	SPINT1; Kunitz-type protease inhibitor 1
K23421	SPINT2; Kunitz-type protease inhibitor 2
K23422	SPINT3; Kunitz-type protease inhibitor 3
K23423	SPINT4; Kunitz-type protease inhibitor 4
K03909	TFPI; tissue factor pathway inhibitor
K23087	TFPI2; tissue factor pathway inhibitor 2
K04520	APP; amyloid beta A4 protein
K08117	APLP2; amyloid-like protein 2
K23621	WFIKKN; WAP, Kazal, immunoglobulin, Kunitz and NTR domain-containing protein
K23622	EPPIN; eppin
K23623	WFDC8; WAP four-disulfide core domain protein 8
K23624	PAPLN; papilin
K23619	COL28A; collagen type XXVIII alpha
K03984	SERPINA1, AAT; alpha-1-antitrypsin
K03913	SERPINA5, PCI; protein C inhibitor
K20734	SERPINA7, TBG; thyroxine-binding globulin
K09821	AGT, SERPINA8; angiotensinogen
K04525	SERPINA; serpin A
K23425	SERPINB1; leukocyte elastase inhibitor
K19821	SERPINB2, PAI2; plasminogen activator inhibitor 2
K10139	SERPINB5; serpin B5
K13964	SERPINB7; serpin B7
