KOGID	kogidname
KOG2234	Predicted UDP-galactose transporter
KOG2235	Uncharacterized conserved protein
KOG2236	Uncharacterized conserved protein
KOG2237	Predicted serine protease
KOG2238	Uncharacterized conserved protein TEX2, contains PH domain
KOG2239	Transcription factor containing NAC and TS-N domains
KOG2240	RNA polymerase II general transcription factor BTF3 and related proteins
KOG2241	tRNA-binding protein
KOG2242	Scaffold/matrix specific factor hnRNP-U/SAF-A, contains SPRY domain
KOG2243	Ca2+ release channel (ryanodine receptor)
KOG2244	Highly conserved protein containing a thioredoxin domain
KOG2245	Poly(A) polymerase and related nucleotidyltransferases
KOG2246	Galactosyltransferases
KOG2247	WD40 repeat-containing protein
KOG2248	3'-5' exonuclease
KOG2249	3'-5' exonuclease
KOG2250	Glutamate/leucine/phenylalanine/valine dehydrogenases
KOG2251	Homeobox transcription factor
KOG2252	CCAAT displacement protein and related homeoproteins
KOG2253	U1 snRNP complex, subunit SNU71 and related PWI-motif proteins
KOG2254	Predicted endo-1,3-beta-glucanase
KOG2255	Peptidyl-tRNA hydrolase
KOG2256	Predicted protein involved in nuclear export of pre-ribosomes
KOG2257	N-acetylglucosaminyltransferase complex, subunit PIG-P, required for phosphatidylinositol biosynthesis
KOG2258	Glycerophosphoryl diester phosphodiesterase
KOG2259	Uncharacterized conserved protein
KOG2260	Cell division cycle 37 protein, CDC37
KOG2261	Polycomb enhancer protein, EPC
KOG2262	Sexual differentiation process protein ISP4
KOG2263	Methionine synthase II (cobalamin-independent)
KOG2264	Exostosin EXT1L
KOG2265	Nuclear distribution protein NUDC
KOG2266	Chromatin-associated protein Dek and related proteins, contains SAP DNA binding domain
KOG2267	Eukaryotic-type DNA primase, large subunit
KOG2268	Serine/threonine protein kinase
KOG2269	Serine/threonine protein kinase
KOG2270	Serine/threonine protein kinase involved in cell cycle control
KOG2271	Nuclear pore complex component (sc Nup85)
KOG2272	Focal adhesion protein PINCH-1, contains LIM domains
KOG2273	Membrane coat complex Retromer, subunit VPS5/SNX1, Sorting nexins, and related PX domain-containing proteins
KOG2274	Predicted importin 9
KOG2275	Aminoacylase ACY1 and related metalloexopeptidases
KOG2276	Metalloexopeptidases
KOG2277	S-M checkpoint control protein CID1 and related nucleotidyltransferases
KOG2278	RNA:NAD 2'-phosphotransferase TPT1
KOG2279	Kinase anchor protein AKAP149, contains KH and Tudor RNA-binding domains
KOG2280	Vacuolar assembly/sorting protein VPS16
KOG2281	Dipeptidyl aminopeptidases/acylaminoacyl-peptidases
KOG2282	NADH-ubiquinone oxidoreductase, NDUFS1/75 kDa subunit
KOG2283	Clathrin coat dissociation kinase GAK/PTEN/Auxilin and related tyrosine phosphatases
KOG2284	E3 ubiquitin ligase, Cullin 2 component
KOG2285	E3 ubiquitin ligase, Cullin 1 component
KOG2286	Exocyst complex subunit SEC6
KOG2287	Galactosyltransferases
KOG2288	Galactosyltransferases
KOG2289	Rhomboid family proteins
KOG2290	Rhomboid family proteins
KOG2291	Oligosaccharyltransferase, alpha subunit (ribophorin I)
KOG2292	Oligosaccharyltransferase, STT3 subunit
KOG2293	Daxx-interacting protein MSP58/p78, contains FHA domain
KOG2294	Transcription factor of the Forkhead/HNF3 family
KOG2295	C2H2 Zn-finger protein
KOG2296	Integral membrane protein
KOG2297	Predicted translation factor, contains W2 domain
KOG2298	Glycyl-tRNA synthetase and related class II tRNA synthetase
KOG2299	Ribonuclease HI
KOG2300	Uncharacterized conserved protein
KOG2301	Voltage-gated Ca2+ channels, alpha1 subunits
KOG2302	T-type voltage-gated Ca2+ channel, pore-forming alpha1I subunit
KOG2303	Predicted NAD synthase, contains CN hydrolase domain
KOG2304	3-hydroxyacyl-CoA dehydrogenase
KOG2305	3-hydroxyacyl-CoA dehydrogenase
KOG2306	Uncharacterized conserved protein
KOG2307	Low density lipoprotein receptor
KOG2308	Phosphatidic acid-preferring phospholipase A1, contains DDHD domain
KOG2309	60s ribosomal protein L2/L8
KOG2310	DNA repair exonuclease MRE11
KOG2311	NAD/FAD-utilizing protein possibly involved in translation
KOG2312	Predicted transcriptional regulator, contains ARID domain
KOG2313	Stress-induced protein UVI31+
KOG2314	Translation initiation factor 3, subunit b (eIF-3b)
KOG2315	Predicted translation initiation factor related to eIF-3a
KOG2316	Predicted ATPase (PP-loop superfamily)
KOG2317	Putative translation initiation inhibitor UK114/IBM1
KOG2318	Uncharacterized conserved protein
KOG2319	Vacuolar assembly/sorting protein VPS9
KOG2320	RAS effector RIN1 (contains VPS domain)
KOG2321	WD40 repeat protein
KOG2322	N-methyl-D-aspartate receptor glutamate-binding subunit
KOG2323	Pyruvate kinase
KOG2324	Prolyl-tRNA synthetase
KOG2325	Predicted transporter/transmembrane protein
KOG2326	DNA-binding subunit of a DNA-dependent protein kinase (Ku80 autoantigen)
KOG2327	DNA-binding subunit of a DNA-dependent protein kinase (Ku70 autoantigen)
KOG2328	Chromosome condensation complex Condensin, subunit H
KOG2329	Alkaline ceramidase
KOG2330	Splicing factor 3b, subunit 2
KOG2331	Predicted glycosylhydrolase
KOG2332	Ferritin
KOG2333	Uncharacterized conserved protein
KOG2334	tRNA-dihydrouridine synthase
KOG2335	tRNA-dihydrouridine synthase
KOG2336	Molybdopterin biosynthesis-related protein
KOG2337	Ubiquitin activating E1 enzyme-like protein
KOG2338	Transcriptional effector CCR4-related protein
KOG2339	Uncharacterized conserved protein
KOG2340	Uncharacterized conserved protein
KOG2341	TATA box binding protein (TBP)-associated factor, RNA polymerase II
KOG2342	Uncharacterized conserved protein
KOG2343	Glucose-repressible protein and related proteins
KOG2344	Exocyst component protein and related proteins
KOG2345	Serine/threonine protein kinase/TGF-beta stimulated factor
KOG2346	Uncharacterized conserved protein
KOG2347	Sec5 subunit of exocyst complex
KOG2348	Urea transporter
KOG2349	Na+:iodide/myo-inositol/multivitamin symporters
KOG2350	Zn-finger protein joined to JAZF1 (predicted suppressor)
KOG2351	RNA polymerase II, fourth largest subunit
KOG2352	Predicted spermine/spermidine synthase
KOG2353	L-type voltage-dependent Ca2+ channel, alpha2/delta subunit
KOG2354	RNA Polymerase C (III) 37 kDa subunit
KOG2355	Predicted ABC-type transport, ATPase component/CCR4 associated factor
KOG2356	Transcriptional activator, adenine-specific DNA methyltransferase
KOG2357	Uncharacterized conserved protein
KOG2358	NifU-like domain-containing proteins
KOG2359	Uncharacterized conserved protein
KOG2360	Proliferation-associated nucleolar protein  (NOL1)
KOG2361	Predicted methyltransferase
KOG2362	Uncharacterized Fe-S protein
KOG2363	Protein subunit of nuclear ribonuclease P (RNase P)
KOG2364	Predicted pseudouridylate synthase
KOG2365	Uncharacterized membrane protein
KOG2366	Alpha-D-galactosidase (melibiase)
KOG2367	Alpha-isopropylmalate synthase/homocitrate synthase
KOG2368	Hydroxymethylglutaryl-CoA lyase
KOG2369	Lecithin:cholesterol acyltransferase (LCAT)/Acyl-ceramide synthase
KOG2370	Cactin
KOG2371	Molybdopterin biosynthesis protein
KOG2372	Oxidation resistance protein
KOG2373	Predicted mitochondrial DNA helicase twinkle
KOG2374	Uncharacterized conserved protein
KOG2375	Protein interacting with poly(A)-binding protein
KOG2376	Signal recognition particle, subunit Srp72
KOG2377	Uncharacterized conserved protein
KOG2378	cAMP-regulated guanine nucleotide exchange factor
KOG2379	Endonuclease MUS81
KOG2380	Prephenate dehydrogenase (NADP+)
KOG2381	Phosphatidylinositol 4-kinase
KOG2382	Predicted alpha/beta hydrolase
KOG2383	Predicted ATPase
KOG2384	Major histocompatibility complex protein BAT4, contains G-patch and ankyrin domains
KOG2385	Uncharacterized conserved protein
KOG2386	mRNA capping enzyme, guanylyltransferase (alpha) subunit
KOG2387	CTP synthase (UTP-ammonia lyase)
KOG2388	UDP-N-acetylglucosamine pyrophosphorylase
KOG2389	Predicted bromodomain transcription factor
KOG2390	Uncharacterized conserved protein
KOG2391	Vacuolar sorting protein/ubiquitin receptor VPS23
KOG2392	Serpin
KOG2393	Transcription initiation factor IIF, large subunit (RAP74)
KOG2394	WD40 protein DMR-N9
KOG2395	Protein involved in vacuole import and degradation
KOG2396	HAT (Half-A-TPR) repeat-containing protein
KOG2397	Protein kinase C substrate, 80 KD protein, heavy chain
KOG2398	Predicted proline-serine-threonine phosphatase-interacting protein (PSTPIP)
KOG2399	K+-dependent Na+:Ca2+ antiporter
KOG2400	Nuclear protein ZAP
KOG2401	Predicted MutS-related protein involved in mismatch repair
KOG2402	Paf1/RNA polymerase II complex, RTF1 component (involved in regulation of TATA box-binding protein)
KOG2403	Succinate dehydrogenase, flavoprotein subunit
KOG2404	Fumarate reductase, flavoprotein subunit
KOG2405	Predicted 3'-5' exonuclease
KOG2406	MADS box transcription factor
KOG2407	GPI transamidase complex, GPI16/PIG-T component, involved in glycosylphosphatidylinositol anchor biosynthesis
KOG2408	Peroxidase/oxygenase
KOG2409	KRR1-interacting protein involved in 40S ribosome biogenesis
KOG2410	Gamma-glutamyltransferase
KOG2411	Aspartyl-tRNA synthetase, mitochondrial
KOG2412	Nuclear-export-signal (NES)-containing protein/polyadenylated-RNA export factor
KOG2413	Xaa-Pro aminopeptidase
KOG2414	Putative Xaa-Pro aminopeptidase
KOG2415	Electron transfer flavoprotein ubiquinone oxidoreductase
KOG2416	Acinus (induces apoptotic chromatin condensation)
KOG2417	Predicted G-protein coupled receptor
KOG2418	Microtubule-associated protein TAU
KOG2419	Phosphatidylserine decarboxylase
KOG2420	Phosphatidylserine decarboxylase
KOG2421	Predicted starch-binding protein
KOG2422	Uncharacterized conserved protein
KOG2423	Nucleolar GTPase
KOG2424	Protein involved in transcription start site selection
KOG2425	Nuclear protein involved in cell morphogenesis and cell surface growth
KOG2426	Dihydroxyacetone kinase/glycerone kinase
KOG2427	Uncharacterized conserved protein
KOG2428	Uncharacterized conserved protein
KOG2429	Glycosyl hydrolase, family 47
KOG2430	Glycosyl hydrolase, family 47
KOG2431	1, 2-alpha-mannosidase
KOG2432	Uncharacterized conserved protein
KOG2433	Uncharacterized conserved protein
KOG2434	RNA polymerase I transcription factor
KOG2435	Uncharacterized conserved protein
KOG2436	Acetylglutamate kinase/acetylglutamate synthase
KOG2437	Muskelin
KOG2438	Glutamyl-tRNA amidotransferase subunit B
KOG2439	Nuclear architecture related protein
KOG2440	Pyrophosphate-dependent phosphofructo-1-kinase
KOG2441	mRNA splicing factor/probable chromatin binding snw family nuclear protein
KOG2442	Uncharacterized conserved protein, contains PA domain
KOG2443	Uncharacterized conserved protein
KOG2444	WD40 repeat protein
KOG2445	Nuclear pore complex component (sc Seh1)
KOG2446	Glucose-6-phosphate isomerase
KOG2447	Oligosaccharyltransferase, delta subunit (ribophorin II)
KOG2448	Dihydroxy-acid dehydratase
KOG2449	Methylmalonate semialdehyde dehydrogenase
KOG2450	Aldehyde dehydrogenase
KOG2451	Aldehyde dehydrogenase
KOG2452	Formyltetrahydrofolate dehydrogenase
KOG2453	Aldehyde dehydrogenase
KOG2454	Betaine aldehyde dehydrogenase
KOG2455	Delta-1-pyrroline-5-carboxylate dehydrogenase
KOG2456	Aldehyde dehydrogenase
KOG2457	A/G-specific adenine DNA glycosylase
KOG2458	Endoplasmic reticulum protein EP58, contains filamin rod domain and KDEL motif
KOG2459	GPI transamidase complex, GPI17/PIG-S component, involved in glycosylphosphatidylinositol anchor biosynthesis
KOG2460	Signal recognition particle, subunit Srp68
KOG2461	Transcription factor BLIMP-1/PRDI-BF1, contains C2H2-type Zn-finger and SET domains
KOG2462	C2H2-type Zn-finger protein
KOG2463	Predicted RNA-binding protein Nob1p involved in 26S proteasome assembly
KOG2464	Serine/threonine kinase (haspin family)
KOG2465	Uncharacterized conserved protein
KOG2466	Uridine permease/thiamine transporter/allantoin transport
KOG2467	Glycine/serine hydroxymethyltransferase
KOG2468	Dolichol kinase
KOG2469	IMP-GMP specific 5'-nucleotidase
KOG2470	Similar to IMP-GMP specific 5'-nucleotidase
KOG2471	TPR repeat-containing protein
KOG2472	Phenylalanyl-tRNA synthetase beta subunit
KOG2473	RNA polymerase III transcription factor (TF)IIIC subunit
KOG2474	Zinc transporter and related ZIP domain-containing proteins
KOG2475	CDC45 (cell division cycle 45)-like protein
KOG2476	Uncharacterized conserved protein
KOG2477	Uncharacterized conserved protein
KOG2478	Putative RNA polymerase II regulator
KOG2479	Translation initiation factor 3, subunit d (eIF-3d)
KOG2480	3-hydroxy-3-methylglutaryl-CoA (HMG-CoA) reductase
KOG2481	Protein required for normal rRNA processing
KOG2482	Predicted C2H2-type Zn-finger protein
KOG2483	Upstream transcription factor 2/L-myc-2 protein
KOG2484	GTPase
KOG2485	Conserved ATP/GTP binding protein
KOG2486	Predicted GTPase
KOG2487	RNA polymerase II transcription initiation/nucleotide excision repair factor TFIIH, subunit TFB4
KOG2488	Acetyltransferase (GNAT) domain-containing protein
KOG2489	Transmembrane protein
KOG2490	Predicted membrane protein
KOG2491	Nuclear matrix protein
KOG2492	CDK5 activator-binding protein
KOG2493	Na+/Pi symporter
KOG2494	C3H1-type Zn-finger protein
KOG2495	NADH-dehydrogenase (ubiquinone)
KOG2496	Cdk activating kinase (CAK)/RNA polymerase II transcription initiation/nucleotide excision repair factor TFIIH/TFIIK, cyclin H subunit
KOG2497	Predicted methyltransferase
KOG2498	IK cytokine down-regulator of HLA class II
KOG2499	Beta-N-acetylhexosaminidase
KOG2500	Uncharacterized conserved protein
KOG2501	Thioredoxin, nucleoredoxin and related proteins
KOG2502	Tub family proteins
KOG2503	Tubby superfamily protein TULP4
KOG2504	Monocarboxylate transporter
KOG2505	Ankyrin repeat protein
KOG2506	SpoU rRNA Methylase family protein
KOG2507	Ubiquitin regulatory protein UBXD2, contains UAS and UBX domains
KOG2508	Predicted phospholipase
KOG2509	Seryl-tRNA synthetase
KOG2510	SWI-SNF chromatin-remodeling complex protein
KOG2511	Nicotinic acid phosphoribosyltransferase
KOG2512	Beta-tubulin folding cofactor C
KOG2513	Protein required for meiotic chromosome segregation
KOG2514	Uncharacterized conserved protein
KOG2515	Mannosyltransferase
KOG2516	Protein involved in dolichol pathway for N-glycosylation (mannosyltransferase family)
KOG2517	Ribulose kinase and related carbohydrate kinases
KOG2518	5'-3' exonuclease
KOG2519	5'-3' exonuclease
KOG2520	5'-3' exonuclease
KOG2521	Uncharacterized conserved protein
KOG2522	Filamentous baseplate protein Ligatin, contains PUA domain
KOG2523	Predicted RNA-binding protein with PUA domain
KOG2524	Cobyrinic acid a,c-diamide synthase
KOG2525	Folylpolyglutamate synthase
KOG2526	Predicted aminopeptidases - M20/M25/M40 family
KOG2527	Sorting nexin SNX11
KOG2528	Sorting nexin SNX9/SH3PX1 and related proteins
KOG2529	Pseudouridine synthase
KOG2530	Members of tubulin/FtsZ family
KOG2531	Sugar (pentulose and hexulose) kinases
KOG2532	Permease of the major facilitator superfamily
KOG2533	Permease of the major facilitator superfamily
KOG2534	DNA polymerase IV (family X)
KOG2535	RNA polymerase II elongator complex, subunit ELP3/histone acetyltransferase
KOG2536	MAM33, mitochondrial matrix glycoprotein
KOG2537	Phosphoglucomutase/phosphomannomutase
KOG2538	Origin recognition complex, subunit 3
KOG2539	Mitochondrial/chloroplast ribosome small subunit component
KOG2540	Cytochrome oxidase assembly factor COX11
KOG2541	Palmitoyl protein thioesterase
KOG2542	Uncharacterized conserved protein (YdiU family)
KOG2543	Origin recognition complex, subunit 5
KOG2544	Dihydropteroate synthase/7,8-dihydro-6-hydroxymethylpterin-pyrophosphokinase/Dihydroneopterin aldolase
KOG2545	Conserved membrane protein
KOG2546	Abl interactor ABI-1, contains SH3 domain
KOG2547	Ceramide glucosyltransferase
KOG2548	SWAP mRNA splicing regulator
KOG2549	Transcription initiation factor TFIID, subunit TAF6 (also component of histone acetyltransferase SAGA)
KOG2550	IMP dehydrogenase/GMP reductase
KOG2551	Phospholipase/carboxyhydrolase
KOG2552	Major facilitator superfamily permease - Cdc91p
KOG2553	Pseudouridylate synthase
KOG2554	Pseudouridylate synthase
KOG2555	AICAR transformylase/IMP cyclohydrolase/methylglyoxal synthase
KOG2556	Leishmanolysin-like peptidase (Peptidase M8 family)
KOG2557	Uncharacterized conserved protein, contains TLDc domain
KOG2558	Negative regulator of histones
KOG2559	Predicted pseudouridine synthase
KOG2560	RNA splicing factor - Slu7p
KOG2561	Adaptor protein NUB1, contains UBA domain
KOG2562	Protein phosphatase 2 regulatory subunit
KOG2563	Permease of the major facilitator superfamily
KOG2564	Predicted acetyltransferases and hydrolases with the alpha/beta hydrolase fold
KOG2565	Predicted hydrolases or acyltransferases (alpha/beta hydrolase superfamily)
KOG2566	Beta-glucocerebrosidase
KOG2567	Uncharacterized conserved protein
KOG2568	Predicted membrane protein
KOG2569	G protein-coupled seven transmembrane receptor
KOG2570	SWI/SNF transcription activation complex subunit
KOG2571	Chitin synthase/hyaluronan synthase (glycosyltransferases)
KOG2572	Ribosome biogenesis protein - Nop58p/Nop5p
KOG2573	Ribosome biogenesis protein - Nop56p/Sik1p
KOG2574	mRNA splicing factor PRP31
KOG2575	Glucosyltransferase - Alg6p
KOG2576	Glucosyltransferase - Alg8p
KOG2577	Transcription factor E2F/dimerization partner (TDP)
KOG2578	Transcription factor E2F/dimerization partner (TDP)-like proteins
KOG2579	Ficolin and related extracellular proteins
KOG2580	Mitochondrial import inner membrane translocase, subunit TIM44
KOG2581	26S proteasome regulatory complex, subunit RPN3/PSMD3
KOG2582	COP9 signalosome, subunit CSN3
KOG2583	Ubiquinol cytochrome c reductase, subunit QCR2
KOG2584	Dihydroorotase and related enzymes
KOG2585	Uncharacterized conserved protein
KOG2586	Pyridoxamine-phosphate oxidase
KOG2587	RNA polymerase III (C) subunit
KOG2588	Predicted DNA-binding protein
KOG2589	Histone tail methylase
KOG2590	RNA-binding protein LARP/SRO9 and related La domain proteins
KOG2591	c-Mpl binding protein, contains La domain
KOG2592	Tumor differentially expressed (TDE) protein
KOG2593	Transcription initiation factor IIE, alpha subunit
KOG2594	Uncharacterized conserved protein
KOG2595	Predicted GTPase activator protein
KOG2596	Aminopeptidase I zinc metalloprotease (M18)
KOG2597	Predicted aminopeptidase of the M17 family
KOG2598	Phosphomethylpyrimidine kinase
KOG2599	Pyridoxal/pyridoxine/pyridoxamine kinase
KOG2600	U3 small nucleolar ribonucleoprotein (snoRNP) subunit - Mpp10p
KOG2601	Iron transporter
KOG2602	Predicted cell surface protein homologous to bacterial outer membrane proteins
KOG2603	Oligosaccharyltransferase, gamma subunit
KOG2604	Subunit of cis-Golgi transport vesicle tethering complex - Sec34p
KOG2605	OTU (ovarian tumor)-like cysteine protease
KOG2606	OTU (ovarian tumor)-like cysteine protease
KOG2607	CDK5 activator-binding protein
KOG2608	Endoplasmic reticulum membrane-associated oxidoreductin involved in disulfide bond formation
KOG2609	Cyclin D-interacting protein GCIP
KOG2610	Uncharacterized conserved protein
KOG2611	Neurochondrin/leucine-rich protein (Neurochondrin)
KOG2612	Predicted integral membrane protein
KOG2613	NMD protein affecting ribosome stability and mRNA decay
KOG2614	Kynurenine 3-monooxygenase and related flavoprotein monooxygenases
KOG2615	Permease of the major facilitator superfamily
KOG2616	Pyridoxalphosphate-dependent enzyme/predicted threonine synthase
KOG2617	Citrate synthase
KOG2618	Uncharacterized conserved protein
KOG2619	Fucosyltransferase
KOG2620	Prohibitins and stomatins of the PID superfamily
KOG2621	Prohibitins and stomatins of the PID superfamily
KOG2622	Putative myrosinase precursor
KOG2623	Tyrosyl-tRNA synthetase
KOG2624	Triglyceride lipase-cholesterol esterase
KOG2625	Uncharacterized conserved protein
KOG2626	Histone H3 (Lys4) methyltransferase complex, subunit CPS60/ASH2/BRE2
KOG2627	Nuclear protein ES2
KOG2628	Farnesyl cysteine-carboxyl methyltransferase
KOG2629	Peroxisomal membrane anchor protein (peroxin)
KOG2630	Enolase-phosphatase E-1
KOG2631	Class II aldolase/adducin N-terminal domain protein
KOG2632	Rhomboid family proteins
KOG2633	Hismacro and SEC14 domain-containing proteins
KOG2634	Initiator tRNA phosphoribosyl-transferase
KOG2635	Medium subunit of clathrin adaptor complex
KOG2636	Splicing factor 3a, subunit 3
KOG2637	Uncharacterized conserved protein
KOG2638	UDP-glucose pyrophosphorylase
KOG2639	Sodium sulfate symporter and related arsenite permeases
KOG2640	Thioredoxin
KOG2641	Predicted seven transmembrane receptor - rhodopsin family
KOG2642	Alpha-1,2 glucosyltransferase/transcriptional activator
KOG2643	Ca2+ binding protein, contains EF-hand motifs
KOG2644	3'-phosphoadenosine 5'-phosphosulfate sulfotransferase (PAPS reductase)/FAD synthetase and related enzymes
KOG2645	Type I phosphodiesterase/nucleotide pyrophosphatase
KOG2646	Ribosomal protein S5
KOG2647	Predicted Dolichyl-phosphate-mannose-protein mannosyltransferase
KOG2648	Diphthamide biosynthesis protein
KOG2649	Zinc carboxypeptidase
KOG2650	Zinc carboxypeptidase
KOG2651	rRNA adenine N-6-methyltransferase
KOG2652	RNA polymerase II transcription initiation factor TFIIA, large chain
KOG2653	6-phosphogluconate dehydrogenase
KOG2654	Uncharacterized conserved protein
KOG2655	Septin family protein (P-loop GTPase)
KOG2656	DNA methyltransferase 1-associated protein-1
KOG2657	Transmembrane glycoprotein nicastrin
KOG2658	NADH:ubiquinone oxidoreductase, NDUFV1/51kDa subunit
KOG2659	LisH motif-containing protein
KOG2660	Locus-specific chromosome binding proteins
KOG2661	Peptidase family M48
KOG2662	Magnesium transporters: CorA family
KOG2663	Acetolactate synthase, small subunit
KOG2664	Small nuclear RNA activating protein complex - 50kD subunit (SNAP50)
KOG2665	Predicted FAD-dependent oxidoreductase
KOG2666	UDP-glucose/GDP-mannose dehydrogenase
KOG2667	COPII vesicle protein
KOG2668	Flotillins
KOG2669	Regulator of nuclear mRNA
KOG2670	Enolase
KOG2671	Putative RNA methylase
KOG2672	Lipoate synthase
KOG2673	Uncharacterized conserved protein, contains PSP domain
KOG2674	Cysteine protease required for autophagy - Apg4p/Aut2p
KOG2675	Adenylate cyclase-associated protein (CAP/Srv2p)
KOG2676	Uncharacterized conserved protein
KOG2677	Stoned B synaptic vesicle biogenesis protein
KOG2678	Predicted membrane protein
KOG2679	Purple (tartrate-resistant) acid phosphatase
KOG2680	DNA helicase TIP49, TBP-interacting protein
KOG2681	Metal-dependent phosphohydrolase
KOG2682	NAD-dependent histone deacetylases and class I sirtuins (SIR2 family)
KOG2683	Sirtuin 4 and related class II sirtuins (SIR2 family)
KOG2684	Sirtuin 5 and related class III sirtuins (SIR2 family)
KOG2685	Cystoskeletal protein Tektin
KOG2686	Choline kinase
KOG2687	Spindle pole body protein, contains UNC-84 domain
KOG2688	Transcription-associated recombination protein - Thp1p
KOG2689	Predicted ubiquitin regulatory protein
KOG2690	Uncharacterized conserved protein, contains BSD domain
KOG2691	RNA polymerase II subunit 9
KOG2692	Sialyltransferase
KOG2693	Putative zinc transporter
KOG2694	Putative zinc transporter
KOG2695	WD40 repeat protein
KOG2696	Histone acetyltransferase type b catalytic subunit
KOG2697	Histidinol dehydrogenase
KOG2698	GTP cyclohydrolase I
KOG2699	Predicted ubiquitin regulatory protein
KOG2700	Adenylosuccinate lyase
KOG2701	Uncharacterized conserved protein
KOG2702	Predicted panthothenate kinase/uridine kinase-related protein
KOG2703	C4-type Zn-finger protein
KOG2704	Predicted membrane protein
KOG2705	Predicted membrane protein
KOG2706	Predicted membrane protein
KOG2707	Predicted metalloprotease with chaperone activity (RNAse H/HSP70 fold)
KOG2708	Predicted metalloprotease with chaperone activity (RNAse H/HSP70 fold)
KOG2709	Uncharacterized conserved protein
KOG2710	Rho GTPase-activating protein
KOG2711	Glycerol-3-phosphate dehydrogenase/dihydroxyacetone 3-phosphate reductase
KOG2712	Transcriptional coactivator
KOG2713	Mitochondrial tryptophanyl-tRNA synthetase
KOG2714	SETA binding protein SB1 and related proteins, contain BTB/POZ domain
KOG2715	Uncharacterized conserved protein, contains BTB/POZ domain
KOG2716	Polymerase delta-interacting protein PDIP1 and related proteins, contain BTB/POZ domain
KOG2717	Uncharacterized conserved protein with similarity to embryogenesis protein H beta 58 and VPS26
KOG2718	Na+-bile acid cotransporter
KOG2719	Metalloprotease
KOG2720	Predicted hydrolase (HIT family)
KOG2721	Uncharacterized conserved protein
KOG2722	Predicted membrane protein
KOG2723	Uncharacterized conserved protein, contains BTB/POZ domain
KOG2724	Nuclear pore complex component NPAP60L/NUP50
KOG2725	Cytochrome oxidase assembly factor COX15
KOG2726	Mitochondrial polypeptide chain release factor
KOG2727	Rab3 GTPase-activating protein, non-catalytic subunit
KOG2728	Uncharacterized conserved protein with similarity to phosphopantothenoylcysteine synthetase/decarboxylase
KOG2729	ER vesicle integral membrane protein involved in establishing cell polarity, signaling and protein degradation
KOG2730	Methylase
KOG2731	DNA alkylation damage repair protein
KOG2732	DNA polymerase delta, regulatory subunit 55
KOG2733	Uncharacterized membrane protein
KOG2734	Uncharacterized conserved protein
KOG2735	Phosphatidylserine synthase
KOG2736	Presenilin
KOG2737	Putative metallopeptidase
KOG2738	Putative methionine aminopeptidase
KOG2739	Leucine-rich acidic nuclear protein
KOG2740	Clathrin-associated protein medium chain
KOG2741	Dimeric dihydrodiol dehydrogenase
KOG2742	Predicted oxidoreductase
KOG2743	Cobalamin synthesis protein
KOG2744	DNA-binding proteins Bright/BRCAA1/RBP1 and related proteins containing BRIGHT domain
KOG2745	Mitochondrial carrier protein
KOG2746	HMG-box transcription factor Capicua and related proteins
KOG2747	Histone acetyltransferase (MYST family)
KOG2748	Uncharacterized conserved protein, contains chromo domain
KOG2749	mRNA cleavage and polyadenylation factor IA/II complex, subunit CLP1
KOG2750	Uncharacterized conserved protein similar to ATP/GTP-binding protein
KOG2751	Beclin-like protein
KOG2752	Uncharacterized conserved protein, contains N-recognin-type Zn-finger
KOG2753	Uncharacterized conserved protein, contains PCI domain
KOG2754	Oligosaccharyltransferase, beta subunit
KOG2755	Oxidoreductase
KOG2756	Predicted Mg2+-dependent phosphodiesterase TTRAP
KOG2757	Mannose-6-phosphate isomerase
KOG2758	Translation initiation factor 3, subunit e (eIF-3e)
KOG2759	Vacuolar H+-ATPase V1 sector, subunit H
KOG2760	Vacuolar sorting protein VPS36
KOG2761	START domain-containing proteins involved in steroidogenesis/phosphatidylcholine transfer
KOG2762	Mannosyltransferase
KOG2763	Acyl-CoA thioesterase
KOG2764	Putative transcriptional regulator DJ-1
KOG2765	Predicted membrane protein
KOG2766	Predicted membrane protein
KOG2767	Translation initiation factor 5 (eIF-5)
KOG2768	Translation initiation factor 2, beta subunit (eIF-2beta)
KOG2769	Putative u4/u6 small nuclear ribonucleoprotein
KOG2770	Aminomethyl transferase
KOG2771	Subunit of tRNA-specific adenosine-34 deaminase
KOG2772	Transaldolase
KOG2773	Apoptosis antagonizing transcription factor/protein transport protein
KOG2774	NAD dependent epimerase
KOG2775	Metallopeptidase
KOG2776	Metallopeptidase
KOG2777	tRNA-specific adenosine deaminase 1
KOG2778	Ubiquitin C-terminal hydrolase
KOG2779	N-myristoyl transferase
KOG2780	Ribosome biogenesis protein RPF1, contains IMP4 domain
KOG2781	U3 small nucleolar ribonucleoprotein (snoRNP) component
KOG2782	Putative SAM dependent methyltransferases
KOG2783	Phenylalanyl-tRNA synthetase
KOG2784	Phenylalanyl-tRNA synthetase, beta subunit
KOG2785	C2H2-type Zn-finger protein
KOG2786	Putative glutamate/ornithine acetyltransferase
KOG2787	Lanthionine synthetase C-like protein 1
KOG2788	Glycosyltransferase
KOG2789	Putative Zn-finger protein
KOG2790	Phosphoserine aminotransferase
KOG2791	N-acetylglucosaminyltransferase
KOG2792	Putative cytochrome C oxidase assembly protein
KOG2793	Putative N2,N2-dimethylguanosine tRNA methyltransferase
KOG2794	Delta-aminolevulinic acid dehydratase
KOG2795	Catalytic subunit of the meiotic double strand break transesterase
